SDATE,IsHoliday,IsSpringFestival,temperature_max,temperature_min,temperature_avg,IsHeating,week_year
2018-09-01,1,0,29,19,24,0,35
2018-09-02,1,0,29,18,23,0,35
2018-09-03,0,0,29,18,23,0,36
2018-09-04,0,0,28,18,23,0,36
2018-09-05,0,0,28,18,23,0,36
2018-09-06,0,0,28,18,23,0,36
2018-09-07,0,0,28,17,22,0,36
2018-09-08,1,0,28,17,22,0,36
2018-09-09,1,0,28,17,22,0,36
2018-09-10,0,0,27,17,22,0,37
2018-09-11,0,0,27,16,21,0,37
2018-09-12,0,0,27,16,21,0,37
2018-09-13,0,0,27,16,21,0,37
2018-09-14,0,0,27,16,21,0,37
2018-09-15,1,0,26,15,20,0,37
2018-09-16,1,0,26,15,20,0,37
2018-09-17,0,0,26,15,20,0,38
2018-09-18,0,0,26,15,20,0,38
2018-09-19,0,0,26,15,20,0,38
2018-09-20,0,0,25,14,19,0,38
2018-09-21,0,0,25,14,19,0,38
2018-09-22,2,0,25,14,19,0,38
2018-09-23,2,0,25,14,19,0,38
2018-09-24,2,0,25,13,19,0,39
2018-09-25,0,0,24,13,18,0,39
2018-09-26,0,0,24,13,18,0,39
2018-09-27,0,0,24,13,18,0,39
2018-09-28,0,0,24,12,18,0,39
2018-09-29,0,0,24,12,18,0,39
2018-09-30,0,0,23,12,17,0,39
